Treatment,AGB11,AGB14,Dyr,X,Y
1_old_growth,160.922424316406,174.443161010742,4.50691223144531,226328.659349372,9753470.02532787
1_old_growth,232.815795898438,242.382461547852,3.18888854980469,226428.659349372,9753470.02532787
1_old_growth,202.407958984375,228.656921386719,8.74965413411458,226528.659349372,9753470.02532787
1_old_growth,208.295028686523,118.700408935547,-29.8648732503255,226628.659349372,9753470.02532787
1_old_growth,237.262023925781,45.6544494628906,-63.8691914876302,226728.659349372,9753470.02532787
3_illegal_logging,163.837295532227,113.759269714355,-16.6926752726237,226828.659349372,9753470.02532787
3_illegal_logging,211.039215087891,218.706329345703,2.55570475260417,226928.659349372,9753470.02532787
1_old_growth,267.352203369141,304.478576660156,12.3754577636719,227028.659349372,9753470.02532787
1_old_growth,161.727493286133,153.099594116211,-2.87596638997396,227128.659349372,9753470.02532787
3_illegal_logging,301.171936035156,76.3816528320312,-74.9300944010417,227228.659349372,9753470.02532787
1_old_growth,217.748580932617,163.401290893555,-18.1157633463542,227328.659349372,9753470.02532787
1_old_growth,158.606582641602,139.106735229492,-6.49994913736979,227428.659349372,9753470.02532787
3_illegal_logging,139.460525512695,80.1197204589844,-19.780268351237,227528.659349372,9753470.02532787
1_old_growth,257.187347412109,127.034843444824,-43.3841679890951,227628.659349372,9753470.02532787
3_illegal_logging,242.144424438477,118.724075317383,-41.1401163736979,227728.659349372,9753470.02532787
3_illegal_logging,181.69743347168,172.497375488281,-3.06668599446615,227828.659349372,9753470.02532787
1_old_growth,188.838165283203,144.70263671875,-14.7118428548177,227928.659349372,9753470.02532787
3_illegal_logging,207.814987182617,112.645011901855,-31.7233250935872,228028.659349372,9753470.02532787
3_illegal_logging,190.014801025391,144.547988891602,-15.1556040445964,228128.659349372,9753470.02532787
3_illegal_logging,197.405776977539,111.695938110352,-28.5699462890625,228228.659349372,9753470.02532787
1_old_growth,182.411239624023,113.921600341797,-22.8298797607422,228328.659349372,9753470.02532787
3_illegal_logging,241.129806518555,215.048980712891,-8.69360860188802,228428.659349372,9753470.02532787
1_old_growth,308.458099365234,190.021179199219,-39.4789733886719,228528.659349372,9753470.02532787
3_illegal_logging,295.366912841797,227.916046142578,-22.4836222330729,228628.659349372,9753470.02532787
3_illegal_logging,241.64714050293,204.583404541016,-12.3545786539714,228728.659349372,9753470.02532787
3_illegal_logging,229.384948730469,230.691558837891,0.435536702473958,228828.659349372,9753470.02532787
3_illegal_logging,206.26301574707,111.558502197266,-31.5681711832682,228928.659349372,9753470.02532787
3_illegal_logging,239.755706787109,149.124786376953,-30.2103068033854,229028.659349372,9753470.02532787
3_illegal_logging,174.990661621094,165.537521362305,-3.15104675292969,229128.659349372,9753470.02532787
3_illegal_logging,222.611770629883,183.412307739258,-13.0664876302083,229228.659349372,9753470.02532787
3_illegal_logging,203.481338500977,75.6486282348633,-42.6109034220378,229328.659349372,9753470.02532787
3_illegal_logging,140.374374389648,119.457778930664,-6.97219848632812,229428.659349372,9753470.02532787
3_illegal_logging,259.570495605469,224.619705200195,-11.6502634684245,229528.659349372,9753470.02532787
1_old_growth,244.831558227539,197.09228515625,-15.913091023763,229628.659349372,9753470.02532787
1_old_growth,238.762985229492,66.6950607299805,-57.3559748331706,229728.659349372,9753470.02532787
1_old_growth,196.634628295898,112.965126037598,-27.8898340861003,229828.659349372,9753470.02532787
3_illegal_logging,219.409729003906,227.280395507812,2.62355550130208,229928.659349372,9753470.02532787
3_illegal_logging,195.349304199219,173.982696533203,-7.12220255533854,230028.659349372,9753470.02532787
1_old_growth,149.260147094727,171.142120361328,7.29399108886719,230128.659349372,9753470.02532787
3_illegal_logging,138.894821166992,98.9421157836914,-13.3175684611003,230228.659349372,9753470.02532787
1_old_growth,142.930709838867,139.462890625,-1.15593973795573,230328.659349372,9753470.02532787
1_old_growth,167.359085083008,184.391464233398,5.67745971679688,230428.659349372,9753470.02532787
1_old_growth,218.291091918945,218.798980712891,0.169296264648438,230528.659349372,9753470.02532787
1_old_growth,198.367965698242,202.357879638672,1.32997131347656,230628.659349372,9753470.02532787
1_old_growth,165.352157592773,181.221786499023,5.28987630208333,230728.659349372,9753470.02532787
3_illegal_logging,231.930404663086,236.00048828125,1.35669453938802,230828.659349372,9753470.02532787
1_old_growth,207.384689331055,179.296127319336,-9.36285400390625,230928.659349372,9753470.02532787
1_old_growth,176.23649597168,196.942565917969,6.90202331542969,231028.659349372,9753470.02532787
1_old_growth,160.591751098633,184.597091674805,8.00178019205729,231128.659349372,9753470.02532787
3_illegal_logging,170.618850708008,194.493530273438,7.9582265218099,231228.659349372,9753470.02532787
1_old_growth,213.535263061523,79.4229431152344,-44.704106648763,231328.659349372,9753470.02532787
1_old_growth,176.045181274414,179.84716796875,1.26732889811198,231428.659349372,9753470.02532787
3_illegal_logging,198.31755065918,193.502426147461,-1.60504150390625,231528.659349372,9753470.02532787
1_old_growth,142.117401123047,126.914970397949,-5.06747690836589,231628.659349372,9753470.02532787
1_old_growth,169.060455322266,173.740417480469,1.55998738606771,231728.659349372,9753470.02532787
1_old_growth,163.771179199219,142.417419433594,-7.117919921875,231828.659349372,9753470.02532787
1_old_growth,269.004089355469,233.469375610352,-11.8449045817057,231928.659349372,9753470.02532787
1_old_growth,225.506912231445,158.70068359375,-22.2687428792318,232028.659349372,9753470.02532787
3_illegal_logging,150.547592163086,108.251136779785,-14.0988184611003,232128.659349372,9753470.02532787
1_old_growth,187.698455810547,156.44059753418,-10.4192860921224,232228.659349372,9753470.02532787
1_old_growth,135.182174682617,161.79475402832,8.87085978190104,232328.659349372,9753470.02532787
1_old_growth,156.817260742188,84.9392623901367,-23.9593327840169,232428.659349372,9753470.02532787
1_old_growth,195.703887939453,102.95288848877,-30.9169998168945,232528.659349372,9753470.02532787
1_old_growth,175.992553710938,205.507415771484,9.83828735351562,232628.659349372,9753470.02532787
1_old_growth,226.204956054688,228.854797363281,0.883280436197917,232728.659349372,9753470.02532787
